"name1","name2","ally"
"AUH","GUA",0
"AUH","HON",0
"AUH","SAL",0
"AUH","NIC",0
"AUH","ECU",0
"AUH","UKG",0
"AUH","FRN",0
"AUH","GMY",1
"AUH","AUH",NA
"AUH","ITA",1
"AUH","MNG",0
"AUH","YUG",0
"AUH","BUL",1
"AUH","ROM",1
"AUH","RUS",0
"AUH","COS",0
"AUH","BOL",0
"AUH","SPN",0
"AUH","POR",0
"AUH","JPN",0
"AUH","TUR",0
"AUH","GRC",0
"BOL","GUA",0
"BOL","HON",0
"BOL","SAL",0
"BOL","NIC",0
"BOL","ECU",0
"BOL","UKG",0
"BOL","FRN",0
"BOL","GMY",0
"BOL","AUH",0
"BOL","ITA",0
"BOL","MNG",0
"BOL","YUG",0
"BOL","BUL",0
"BOL","ROM",0
"BOL","RUS",0
"BOL","COS",0
"BOL","BOL",NA
"BOL","SPN",0
"BOL","POR",0
"BOL","JPN",0
"BOL","TUR",0
"BOL","GRC",0
"BUL","GUA",0
"BUL","HON",0
"BUL","SAL",0
"BUL","NIC",0
"BUL","ECU",0
"BUL","UKG",0
"BUL","FRN",0
"BUL","GMY",1
"BUL","AUH",1
"BUL","ITA",0
"BUL","MNG",0
"BUL","YUG",0
"BUL","BUL",NA
"BUL","ROM",0
"BUL","RUS",0
"BUL","COS",0
"BUL","BOL",0
"BUL","SPN",0
"BUL","POR",0
"BUL","JPN",0
"BUL","TUR",1
"BUL","GRC",0
"COS","GUA",0
"COS","HON",0
"COS","SAL",0
"COS","NIC",0
"COS","ECU",0
"COS","UKG",0
"COS","FRN",0
"COS","GMY",0
"COS","AUH",0
"COS","ITA",0
"COS","MNG",0
"COS","YUG",0
"COS","BUL",0
"COS","ROM",0
"COS","RUS",0
"COS","COS",NA
"COS","BOL",0
"COS","SPN",0
"COS","POR",0
"COS","JPN",0
"COS","TUR",0
"COS","GRC",0
"ECU","GUA",0
"ECU","HON",0
"ECU","SAL",0
"ECU","NIC",0
"ECU","ECU",NA
"ECU","UKG",0
"ECU","FRN",0
"ECU","GMY",0
"ECU","AUH",0
"ECU","ITA",0
"ECU","MNG",0
"ECU","YUG",0
"ECU","BUL",0
"ECU","ROM",0
"ECU","RUS",0
